"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"待审批项目列表","91","审批列表","testcases","2026-02-09","passed","2026-02-09","TestAdminAPI","test_admin_api","",""
"获取公钥接口","82","获取登录公钥接口测试用例","testcases","2026-02-09","passed","2026-02-09","TestLoginAPI","test_login_api","",""
"测试登录接口,使用正确的管理员账号和密码（RSA加密密码）","83","登录接口成功测试用例","testcases","2026-02-09","passed","2026-02-09","TestLoginAPI","test_login_api","",""
"测试登录接口，使用错误的管理员账号和密码（RSA加密密码）","90","登录接口失败测试用例","testcases","2026-02-09","failed","2026-02-09","TestLoginAPI","test_login_api","",""
